NlmUniqueID	issn	sherpa_id	result	journal
	1545-3251	11689	JSON file OK - 	0372370
	1545-4126	11690	JSON file OK - 	7804039
	0739-6686		JSON file OK - sherpa without items - 	8406387
	1545-4312	11692	JSON file OK - 	8209988
	1553-4014	11693	JSON file OK - 	101275111
	1545-4304	11694	JSON file OK - 	7607088
	1545-1593	11695	JSON file OK - 	15040080R
	1545-1585	11696	JSON file OK - 	0370600
	1545-2107	11697	JSON file OK - 	0372373
	1545-2123	11698	JSON file OK - 	101140127
	1545-2085	11700	JSON file OK - 	0372374
	1545-2093	11701	JSON file OK - 	8006431
	2327-0578	27645	JSON file OK - 	101625721
	2374-4650		JSON file OK - sherpa without items - 	101660822
	1550-5014	8706	JSON file OK - 	7809992
	2363-7099	277	JSON file OK - 	0372377
	1469-2910	4937	JSON file OK - 	9709920
	1875-5992	1969	JSON file OK - 	101265649
	1473-5741	8720	JSON file OK - 	9100823
	1791-7530	14994	JSON file OK - 	8102988
	1875-614X	32037	JSON file OK - 	101462262
	1098-6596	6213	JSON file OK - 	0315061
	2047-2994	22870	JSON file OK - 	101585411
	1557-7716	148	JSON file OK - 	100888899
	2040-2066	35144	JSON file OK - 	9009212
	2040-2058	12718	JSON file OK - 	9815705
	1872-9096		JSON file OK - sherpa without items - 	8109699
	1572-9699	17059	JSON file OK - 	0372625
	1477-2205	4938	JSON file OK - 	9212242
	1445-2197	3767	JSON file OK - 	101086634
	1878-0369	11122	JSON file OK - 	0372403
	1600-0463	7605	JSON file OK - 	8803400
	1600-5503		JSON file OK - sherpa without items - 	8812090
	1573-675X	17060	JSON file OK - 	9712129
	1095-8304		JSON file OK - sherpa without items - 	8006808
	1559-0291	11763	JSON file OK - 	8208561
	1869-0327	13327	JSON file OK - 	101537732
	1098-5336	6214	JSON file OK - 	7605801
	1872-9126		JSON file OK - sherpa without items - 	0261412
	1179-1896	28046	JSON file OK - 	101150314
	1533-4058	8721	JSON file OK - 	100888796
	1432-0614	7841	JSON file OK - 	8406612
	2327-9109	37808	JSON file OK - 	101584082
	2162-2973	21627	JSON file OK - 	101584990
	1532-8201	4730	JSON file OK - 	8901557
	1539-4522		JSON file OK - sherpa without items - 	0247660
	1715-5320	10122	JSON file OK - 	101264333
	1758-0854	3617	JSON file OK - 	101502957
	1573-3270	11770	JSON file OK - 	9712383
	1872-9800	12443	JSON file OK - 	9306253
	1943-3530	13350	JSON file OK - 	0372406
	1879-1514	15852	JSON file OK - 	8500246
	2090-2387	13734	JSON file OK - 	101298363
	1477-2817	4954	JSON file OK - 	101222433
	1668-3501		JSON file OK - sherpa without items - 	0372460
	1096-0384	11269	JSON file OK - 	0372430
	1579-2129	28923	JSON file OK - 	101777538
	1665-1731		JSON file OK - sherpa without items - 	101126728
	1875-2128	10418	JSON file OK - 	101465655
	1873-5843	1336	JSON file OK - 	9004255
	1432-069X	7851	JSON file OK - 	8000462
	1468-2044	1664	JSON file OK - 	0372434
	1743-0593	36895	JSON file OK - 	101220684
	1468-2052	36672	JSON file OK - 	9501297
	2359-4292		JSON file OK - sherpa without items - 	101652058
	1432-0703	11811	JSON file OK - 	0357245
	2154-4700	33104	JSON file OK - 	101282564
	1576-8260		JSON file OK - sherpa without items - 	0064757
	1872-6976		JSON file OK - sherpa without items - 	8214379
	1432-0711	7852	JSON file OK - 	8710213
	1661-4917	15619	JSON file OK - 	0114365
	1520-6327	13817	JSON file OK - 	8501752
	1735-3947		JSON file OK - sherpa without items - 	100889644
	0003-9829		JSON file OK - sherpa without items - 	0372441
	2282-4197	25321	JSON file OK - 	9308247
	1873-5487		JSON file OK - sherpa without items - 	9312706
	1689-1716	32721	JSON file OK - 	1260766
	1432-072X	7853	JSON file OK - 	0410427
	1879-1506		JSON file OK - sherpa without items - 	0116711
	1434-3916	7854	JSON file OK - 	9011043
	1862-3514	11812	JSON file OK - 	101318988
	1543-2165	15040	JSON file OK - 	7607091
	1769-664X	28921	JSON file OK - 	9421356
	1521-4184	1323	JSON file OK - 	0330167
	0253-6269	11813	JSON file OK - 	8000036
	1532-821X		JSON file OK - sherpa without items - 	2985158R
	1744-4160	765	JSON file OK - 	9510153
	1578-2549		JSON file OK - sherpa without items - 	100890196
	1532-8228		JSON file OK - sherpa without items - 	8708534
	2008-9872		JSON file OK - sherpa without items - 	101549567
	1573-2800	11814	JSON file OK - 	1273516
	2173-5794		JSON file OK - sherpa without items - 	101715860
	1543-6136	4956	JSON file OK - 	9504451
	1432-0738	7855	JSON file OK - 	0417615
	1432-8798	11816	JSON file OK - 	7506870
	1435-1102	11817	JSON file OK - 	9815663
	1472-3654	3052	JSON file OK - 	101142614
	1347-7935		JSON file OK - sherpa without items - 	0241212
	1848-6312	41196	JSON file OK - 	0373100
	2309-1266		JSON file OK - sherpa without items - 	0370604
	1678-4170		JSON file OK - sherpa without items - 	0421031
	2317-6326		JSON file OK - sherpa without items - 	9100283
	1678-2925		JSON file OK - sherpa without items - 	0400645
	1678-4219		JSON file OK - sherpa without items - 	15310600R
	1678-4227		JSON file OK - sherpa without items - 	0125444
	1524-4636	4070	JSON file OK - 	9505803
	2151-4658	18515	JSON file OK - 	101518086
	1478-6362	2397	JSON file OK - 	101154438
	2326-5205	27273	JSON file OK - 	101623795
	1873-5495		JSON file OK - sherpa without items - 	100972232
	1526-3231		JSON file OK - sherpa without items - 	8506498
	2169-141X	36635	JSON file OK - 	101594777
	1873-2860	12586	JSON file OK - 	8915031
	1530-9185	9771	JSON file OK - 	9433814
	1525-1594	14540	JSON file OK - 	7802778
	1753-3023	4960	JSON file OK - 	101476585
	1538-943X	8725	JSON file OK - 	9204109
	1440-6047		JSON file OK - sherpa without items - 	9440304
	1743-7563	87	JSON file OK - 	101241430
	2162-0989	22833	JSON file OK - 	101583622
	1941-2479	6432	JSON file OK - 	8708538
	1758-5872	88	JSON file OK - 	101506757
	1816-5370	6425	JSON file OK - 	9503417
	1745-7262	1622	JSON file OK - 	100942132
	2468-824X		JSON file OK - sherpa without items - 	101710889
	1758-5910	851	JSON file OK - 	101506753
	1876-2026		JSON file OK - sherpa without items - 	101517820
	0219-3108	12466	JSON file OK - 	8900600
	2093-7482		JSON file OK - sherpa without items - 	101321326
	0125-877X		JSON file OK - sherpa without items - 	8402034
	2476-762X		JSON file OK - sherpa without items - 	101130625
	1759-0914	15027	JSON file OK - 	101507115
	1557-8127	149	JSON file OK - 	101151468
	1552-3489	6436	JSON file OK - 	9431219
