NlmUniqueID	Title	MedlineTA	Country	Place	Publisher	PublicationFirstYear	PublicationEndYear	Frequency	ISSN-Electronic	ISSN-Print	ISSN-Linking	Language	TitleContinuationYN	IndexingStartDate	CurrentlyIndexedYN	IndexOnlineYN	IndexingSubset	IndexingSelectedURL	ReportedMedlineYN	ISSN	sherpa_oa	embargo	sherpa_oa_green	additional_oa_fee	sherpa_oa_hybrid	title_sherpa	issne_sherpa	issnp_sherpa	url	publisher_id	publisher_country	publisher_type	publisher_url	publisher_name	sherpa_id	sherpa_uri	ISSN_old_x	DOAJ_pissn	ISSN_old_y	DOAJ_title	DOAJ_eissn	DOAJ_Seal	DOAJ_date	DOAJ_year	DOAJ
101586730	Clinical and molecular hepatology	Clin Mol Hepatol	Korea (South)	Seoul, Korea	Korean Association for the Study of the Liver	2012		Quarterly	2287-285X	2287-2728	2287-2728	eng	Y	2012.0	Y	Y	IM	http://www.e-cmh.org/articles/archive.php	Y	2287-285X																	2287-285X	2287-285X		Clinical and Molecular Hepatology	2287-285X	No	2017-07-28T10:54:36Z	2017	yes
101505087	Clinics in orthopedic surgery	Clin Orthop Surg	Korea (South)	Seoul	Korean Orthopaedic Association	2009		Quarterly	2005-4408	2005-291X	2005-291X	eng	N	2009.0	Y	Y	IM	http://www.ecios.org/	Y	2005-4408																	2005-4408	2005-4408		Clinics in Orthopedic Surgery	2005-4408	No	2018-04-30T09:56:47Z	2018	yes
101244734	Clinics (São Paulo, Brazil)	Clinics (Sao Paulo)	Brazil	São Paulo, SP	Hospital das Clínicas, Faculty of Medicine, University of São Paulo	2005		Continuously updated,	1980-5322	1807-5932	1807-5932	eng	Y	2005.0	Y	Y	IM	http://www.scielo.br/scielo.php?script=sci_issues&pid=1807-5932&lng=en&nrm=iso	Y	1980-5322																	1980-5322	1980-5322		Clinics	1980-5322	No	2005-03-24T09:26:29Z	2005	yes
101623246	CoDAS	Codas	Brazil	São Paulo	Sociedade Brasileira de Fonoaudiologia	2013		Continuously updated,	2317-1782		2317-1782	eng	Y	2013.0	Y	Y	IM	http://www.scielo.br/scielo.php?script=sci_serial&pid=2317-1782&lng=en&nrm=iso	Y	2317-1782																	2317-1782	2317-1782		CoDAS	2317-1782	No	2016-12-28T13:33:50Z	2016	yes
101277751	Computational and mathematical methods in medicine	Comput Math Methods Med	United States	New York	Hindawi	2006		Quarterly	1748-6718	1748-670X	1748-670X	eng	N	2010.0	Y	Y	IM	http://www.hindawi.com/journals/cmmm/contents/	Y	1748-6718																	1748-6718	1748-6718		Computational and Mathematical Methods in Medicine	1748-6718	Yes	2011-04-12T12:57:20Z	2011	yes
101532240	Dental press journal of orthodontics	Dental Press J Orthod	Brazil	Maringá	Dental Press International	2010		Annual	2177-6709	2176-9451	2176-9451	eng	N	2013.0	Y	Y	IM	http://www.scielo.br/scielo.php?script=sci_serial&pid=2176-9451&lng=en&nrm=iso	Y	2177-6709																	2177-6709	2177-6709		Dental Press Journal of Orthodontics	2177-6709	No	2010-11-09T15:10:25Z	2010	yes
9610776	Dermatology online journal	Dermatol Online J	United States	[Davis, Calif.]	University of California, Davis	1995		Monthly,	1087-2108		1087-2108	eng	N	1997.0	Y	Y	IM	http://dermatology.cdlib.org/	Y	1087-2108																	1087-2108	1087-2108		Dermatology Online Journal	1087-2108	No	2018-10-03T12:56:41Z	2018	yes
101556588	Diabetes & metabolism journal	Diabetes Metab J	Korea (South)	Seoul	Korean Diabetes Association	2011		Bimonthly	2233-6087	2233-6079	2233-6079	eng	N	2019.0	Y	Y	IM	https://e-dmj.org/index.php	Y	2233-6087																	2233-6087	2233-6087		Diabetes & Metabolism Journal	2233-6087	No	2016-03-07T14:34:28Z	2016	yes
7701817	Ear, nose, & throat journal	Ear Nose Throat J	United States	Thousand Oaks, CA	SAGE Publications	1976		Ten no. a year,	1942-7522	0145-5613	0145-5613	eng	N	1976.0	Y	Y	IM	https://journals.sagepub.com/home/eara	Y	1942-7522																	1942-7522	1942-7522		Ear, Nose & Throat Journal	1942-7522	No	2020-02-24T16:26:55Z	2020	yes
101281800	Einstein (São Paulo, Brazil)	Einstein (Sao Paulo)	Brazil	São Paulo, SP	Instituto de Ensino e Pesquisa Albert Einstein	2003		Quarterly	2317-6385	1679-4508	1679-4508	eng	N	2012.0	Y	Y	IM	http://www.scielo.br/scielo.php?script=sci_issues&pid=1679-4508&lng=en&nrm=iso	Y	2317-6385																	2317-6385	2317-6385		Einstein (São Paulo)	2317-6385	No	2017-05-02T21:13:06Z	2017	yes
9112018	Endocrine regulations	Endocr Regul	Germany	Berlin	Walter de Gruyter GmbH	1991		Quarterly	1336-0329	1210-0668	1210-0668	eng	N	1991.0	Y	Y	IM	https://sciendo.com/journal/enr	Y	1336-0329																	1336-0329	1336-0329		Endocrine Regulations	1336-0329	No	2017-04-28T17:25:19Z	2017	yes
101732442	Endocrinology, diabetes & metabolism	Endocrinol Diabetes Metab	England	[Oxford]	John Wiley & Sons Ltd.	2017			2398-9238		2398-9238	eng	N	2021.0	Y	Y	IM	https://onlinelibrary.wiley.com/journal/23989238	Y	2398-9238																	2398-9238	2398-9238		Endocrinology, Diabetes & Metabolism	2398-9238	No	2018-05-29T14:02:25Z	2018	yes
