NlmUniqueID	BroadJournalHeading	sherpa_id_x	sherpa_has_oa_path	embargo	sherpa_id_y	embargo_published_version	embargo_accepted_version	sherpa_oa_green	sherpa_id	additional_oa_fee	sherpa_oa_hybrid	DOAJ_Seal	DOAJ
8701671	Physiology	12245.0	yes	0.0	12245.0		0.0	yes	12245.0	yes	hybrid or gold		
8701671	Sports Medicine	12245.0	yes	0.0	12245.0		0.0	yes	12245.0	yes	hybrid or gold		
7603486	Behavioral Sciences	1731.0	yes	18.0	1731.0		18.0	yes	1731.0	yes	hybrid or gold		
7603486	Substance-Related Disorders	1731.0	yes	18.0	1731.0		18.0	yes	1731.0	yes	hybrid or gold		
9604935	Substance-Related Disorders	872.0	yes	12.0	872.0		12.0	yes	872.0	yes	hybrid or gold		
0425064	Substance-Related Disorders												
101316917	Substance-Related Disorders	20869.0	yes	0.0	20869.0	0.0	0.0	yes				Yes	yes
9304118	Substance-Related Disorders	6774.0	yes	12.0	6774.0		12.0	yes	6774.0	yes	hybrid or gold		
9605506	Substance-Related Disorders												
101567863	Cell Biology	21814.0	yes	0.0	21814.0	0.0	0.0	yes				No	yes
101567863	Metabolism	21814.0	yes	0.0	21814.0	0.0	0.0	yes				No	yes
101567863	Physiology	21814.0	yes	0.0	21814.0	0.0	0.0	yes				No	yes
0370411	Dentistry												
8712346	Dentistry												
0361564	Health Services												
0361564	Psychiatry												
8914574	Health Services	16472.0	yes	12.0	16472.0		12.0	yes	16472.0	yes	hybrid or gold		
8914574	Psychology	16472.0	yes	12.0	16472.0		12.0	yes	16472.0	yes	hybrid or gold		
9702245	Radiology												
8812074	Hospitals												
9006270	Pediatrics												
101196463	Pediatrics												
101314248	Pediatrics												
1302147	Pediatrics												
1302147	Psychiatry												
0123667	Pediatrics												
8107172	Substance-Related Disorders												
0407712	Anatomy												
0407712	Cell Biology												
0407712	Embryology												
9435676	Anatomy												
9435676	Pathology												
8409340	Anesthesiology	1736.0	yes	12.0	1736.0		12.0	yes	1736.0	yes	hybrid or gold		
0370413	Microbiology												
1304163	Psychology												
1304163	Reproductive Medicine												
8307733	Biochemistry												
8307733	Biotechnology												
0211233	Biochemistry												
0211233	Psychopharmacology												
101775319	Biomedical Engineering	39538.0	yes	12.0	39538.0		12.0	yes	39538.0	yes	hybrid or gold		
101775319	Biotechnology	39538.0	yes	12.0	39538.0		12.0	yes	39538.0	yes	hybrid or gold		
0370414	Biophysics												
0370414	Physics												
101572336	Biochemistry	21419.0	yes	12.0	21419.0		12.0	yes	21419.0	yes	hybrid or gold		
101572336	Molecular Biology	21419.0	yes	12.0	21419.0		12.0	yes	21419.0	yes	hybrid or gold		
0426664	Dermatology												
0426664	Sexually Transmitted Diseases												
7611904	Biomedical Engineering												
7611904	Biophysics												
7611904	Physics												
0262476	Biophysics												
0225721	Biology												
0225721	Reproductive Medicine												
101711718	Biomedical Engineering												
101711718	Biotechnology												
8305187	Biotechnology												
0370416	Neoplasms												
0240537	Biochemistry												
0240537	Chemistry												
0240537	Metabolism												
9007186	Cardiology												
9007186	General Surgery												
0270063	Cardiology												
0235424	Anatomy												
0235424	Biochemistry												
0236562	Medicine												
0370417	Behavioral Sciences												
0370417	Pediatrics												
0121020	Chemistry Techniques, Analytical												
101209214	Nephrology												
8912856	Nursing												
2985173R	Chemistry, Clinical												
101138582	Medicine											No	yes
9709997	Pathology												
0430232	Pharmacology												
8809051	Physical and Rehabilitation Medicine												
8706645	Chemistry	1739.0	yes	12.0	1739.0		12.0	yes	1739.0	yes	hybrid or gold		
0370422	Biochemistry												
0370422	Physiology												
8607435	Family Planning Services												
8404639	Biochemistry												
0341362	Biochemistry												
1301733	Pharmacology												
7703830	Statistics as Topic												
7703830	Vital Statistics												
8802131	Dentistry												
8606032	Dermatology												
8710523	Drug Therapy	1732.0	yes	12.0	1732.0		12.0	yes	1732.0	yes	hybrid or gold		
8710523	Pharmacology	1732.0	yes	12.0	1732.0		12.0	yes	1732.0	yes	hybrid or gold		
0040021	Pharmacology												
101285075	Emergency Medicine												
101285075	Nursing												
9102501	Endocrinology												
9102501	Metabolism												
0044263	Biochemistry												
0337243	Biochemistry												
0337243	Molecular Biology												
0121103	Biology												
0121103	Medicine												
14630160R	Dentistry												
9001271	Nutritional Sciences												
0370423	Nutritional Sciences												
0221542	Nutritional Sciences												
0370421	Genetics, Medical												
100971443	Geriatrics												
0436264	Geriatrics												
101090746	Health Services												
8206631	Health Services Research												
9612021	Education	16364.0	yes	12.0	16364.0		12.0	yes	16364.0	yes	hybrid or gold		
