NlmUniqueID	Title	MedlineTA	PublicationInfo/Country	PublicationInfo/Place	PublicationInfo/Publisher	PublicationInfo/PublicationFirstYear	PublicationInfo/PublicationEndYear	PublicationInfo/Frequency	ISSN[@IssnType="Electronic"]	ISSN[@IssnType="Print"]	ISSNLinking	Language	TitleContinuationYN	IndexingStartDate	CurrentlyIndexedYN	IndexOnlineYN	IndexingSubset	IndexingSelectedURL	ReportedMedlineYN	
101206716	Acta biochimica et biophysica Sinica	Acta Biochim Biophys Sin (Shanghai)	China	Shanghai	Oxford University Press	2004		Monthly	1745-7270	1672-9145	1672-9145	eng	Y	2004	Y	Y	IM	https://academic.oup.com/abbs	Y	
14520300R	Acta biochimica Polonica	Acta Biochim Pol	Poland	Warszawa	Panstwowe Wydawnictwo Naukowe	1954		Quarterly	1734-154X	0001-527X	0001-527X	mul	N	1965	Y	Y	IM	http://www.actabp.pl/	Y	
101194794	Acta of bioengineering and biomechanics	Acta Bioeng Biomech	Poland	Wrocław	Oficyna Wydawnicza Politechniki Wrocławskiej	1999		Irregular		1509-409X	1509-409X	eng	N	2007	Y	Y	IM	http://www.actabio.pwr.wroc.pl/archive.php	Y	
0370274	Acta biologica Academiae Scientiarum Hungaricae	Acta Biol Acad Sci Hung	Hungary	Budapest	Akadémiai Kiadó.	1950	1982	Four no. a year		0001-5288	0001-5288	eng	N		N	N	IM		Y	
1246764	Acta biologiae experimentalis	Acta Biol Exp (Warsz)	Poland	Warszawa	Polish Scientific Publishers	1928	1969			0365-0820	0365-0820	eng	N		N	N	IM		Y	
8404358	Acta biologica Hungarica	Acta Biol Hung	Hungary	Budapest	Akademiai Kiado	1983	2018	Four no. a year		0236-5383	0236-5383	eng	N		N	Y	IM	https://akademiai.com/loi/018	Y	
0370275	Acta biologica et medica	Acta Biol Med (Gdansk)	Poland	Gdansk	Gdanskie Towarzystwo Naukowe	1957	1974	Irregular		0065-1087	0065-1087	eng	N		N	N	IM		Y	
0370276	Acta biologica et medica Germanica	Acta Biol Med Ger	Germany	Berlin	Akademie Verlag	1958	1982	Monthly		0001-5318	0001-5318	ger	N		N	N	IM		Y	
101233144	Acta biomaterialia	Acta Biomater	England	Kidlington, Oxford, UK	Elsevier	2005		Monthly,	1878-7568	1742-7061	1742-7061	eng	N	2005	Y	Y	IM	http://www.sciencedirect.com/science/journal/17427061	Y	
101295064	Acta bio-medica : Atenei Parmensis	Acta Biomed	Italy	Fidenza, Parma	Mattioli 1885	2002		Three no. a year	2531-6745	0392-4203	0392-4203	eng	Y	2002	Y	Y	IM	http://www.mattioli1885journals.com/index.php/actabiomedica/issue/archive	Y	
8106323	Acta bio-medica de L'Ateneo parmense : organo della Società di medicina e scienze naturali di Parma	Acta Biomed Ateneo Parmense	Italy	Parma	Societa di medicina e scienze naturali di Parma	1981	2001	Six no. a year				ita	N		N	N	IM		Y	
0421520	Acta biotheoretica	Acta Biotheor	Netherlands	Dordrecht	Springer	1935		Four no. a year	1572-8358	0001-5342	0001-5342	eng	N	1965	Y	Y	IM	https://link.springer.com/journal/10441	Y	
14520330R	Acta brevia Neerlandica de physiologia, pharmacologia, microbiologia e.a	Acta Brevia Neerl Physiol Pharmacol Microbiol E A	Netherlands	Amsterdam	Swets en Zeitlinger	1931	1950			0365-0766	0365-0766	eng	N		N	N	OM		Y	
0370300	Acta cancerológica	Acta Cancerol (Lima)	Peru	Lima	Sociedad Peruana de Cancerología	1960	2006	Semiannual	1810-8296	1013-5545	1013-5545	spa	N		N	N	IM		Y	
0370570	Acta cardiologica	Acta Cardiol	England	London	Taylor & Francis	1946		Bimonthly	1784-973X	0001-5385	0001-5385	eng	N	1965	Y	Y	IM	http://www.tandfonline.com/loi/tacd20	Y	
0376316	Acta cardiologica. Supplementum	Acta Cardiol Suppl	Belgium	Bruxelles	Acta Medica Belgica	1946	1991	Irregular		0373-7934	0373-7934	eng	N		N	N	IM		Y	
0421263	Acta chemica Scandinavica	Acta Chem Scand	Denmark	Copenhagen	Munksgaard International Publishers	1947	1973	Ten no. a year		0001-5393	0001-5393	eng	N		N	N	IM		Y	
9012772	Acta chemica Scandinavica (Copenhagen, Denmark : 1989)	Acta Chem Scand	Denmark	Copenhagen	Munksgaard	1989	1999	Twelve no. a year	1902-3103	0904-213X	0904-213X	eng	N		N	N	IM		Y	
0421761	Acta chemica Scandinavica. Series A: Physical and inorganic chemistry	Acta Chem Scand A	Denmark	Copenhagen	Munksgaard International Publishers	1974	1988	Ten no. a year		0302-4377	0302-4377	eng	N		N	N	IM		Y	
0421265	Acta chemica Scandinavica. Series B: Organic chemistry and biochemistry	Acta Chem Scand B	Denmark	Copenhagen	Munksgaard International Publishers	1974	1988	Ten no. a year		0302-4369	0302-4369	eng	N		N	N	IM		Y	
101247110	Acta chimica Slovenica	Acta Chim Slov	Slovenia	Ljubljana	Slovenian Chemical Society	1993		Quarterly	1580-3155	1318-0207	1318-0207	eng	N	2013	Y	Y	IM	https://journals.matheo.si/index.php/ACSi	Y	
