NlmUniqueID	Title	MedlineTA	Country	Place	Publisher	PublicationFirstYear	PublicationEndYear	Frequency	ISSN-Electronic	ISSN-Print	ISSN-Linking	Language	TitleContinuationYN	IndexingStartDate	CurrentlyIndexedYN	IndexOnlineYN	IndexingSubset	IndexingSelectedURL	ReportedMedlineYN	ISSN	sherpa_oa	embargo	sherpa_oa_green	additional_oa_fee	sherpa_oa_hybrid	title_sherpa	issne_sherpa	issnp_sherpa	url	publisher_id	publisher_country	publisher_type	publisher_url	publisher_name	sherpa_id	sherpa_uri	ISSN_old_x	DOAJ_pissn	ISSN_old_y	DOAJ_title	DOAJ_eissn	DOAJ_Seal	DOAJ_date	DOAJ_year	DOAJ	year_founded	year_reverse_flipped	journal_location	society_affiliation	other_sci_affiliation	flipped_journal_name	post_flip_publisher	flipped_access_model	apc_pre	apc_post	apc_now	discipline	flipped_oa	flipped_born_oa	flipped_embargo	Reverse_Flip	not_oa_not_hybrid
9104803	Advances in peritoneal dialysis. Conference on Peritoneal Dialysis	Adv Perit Dial	Canada	[Toronto, Canada]	Peritoneal Dialysis Bulletin, Inc.	1985		Annual		1197-8554	1197-8554	eng	N	1989.0	Y	N	IM		Y	1197-8554																																										yes
9015397	Advances in pharmacology (San Diego, Calif.)	Adv Pharmacol	United States	New York Ny	Academic Press	1990		Irregular	1557-8925	1054-3589	1054-3589	eng	N	1990.0	Y	Y	IM	http://www.sciencedirect.com/science/bookseries/10543589	Y	1557-8925																																										yes
101497281	Advances in protein chemistry and structural biology	Adv Protein Chem Struct Biol	Netherlands	Amsterdam	Elsevier	2008		Irregular	1876-1631	1876-1623	1876-1623	eng	Y	2008.0	Y	Y	IM	http://www.sciencedirect.com/science/bookseries/18761623	Y	1876-1631																																										yes
0101303	Advances in psychosomatic medicine	Adv Psychosom Med	Switzerland	Basel, New York	Karger.	1967		Irregular	1662-2855	0065-3268	0065-3268	eng	N	1967.0	Y	Y	IM	http://www.karger.com/BookSeries/Home/223875	Y	1662-2855																																										yes
7501064	Advances and technical standards in neurosurgery	Adv Tech Stand Neurosurg	United States	New York	Springer-Verlag.	1974		Irregular,		0095-4829	0095-4829	eng	N	1984.0	Y	N	IM		Y	0095-4829																																										yes
0370441	Advances in virus research	Adv Virus Res	United States	New York, NY	Academic Press	1953		Irregular	1557-8399	0065-3527	0065-3527	eng	N	1965.0	Y	Y	IM	http://www.sciencedirect.com/science/bookseries/00653527	Y	1557-8399																																										yes
101654770	Aerospace medicine and human performance	Aerosp Med Hum Perform	United States	Alexandria, VA	Aerospace Medical Association	2015		Monthly	2375-6322	2375-6314	2375-6314	eng	Y	2015.0	Y	Y	IM	http://www.ingentaconnect.com/content/asma/amhp	Y	2375-6322																																										yes
101149451	African health sciences	Afr Health Sci	Uganda	Kampala, Uganda	Faculty of Medicine, Makerere University	2001		Four no. a year,	1729-0503	1680-6905	1680-6905	eng	N	2001.0	Y	Y	IM	http://preview.ncbi.nlm.nih.gov/pmc/journals/378/	Y	1729-0503																																										yes
9712263	African journal of reproductive health	Afr J Reprod Health	Nigeria	Benin City, Edo State, Nigeria	Women's Health and Action Research Centre	1997		Four no. a year,		1118-4841	1118-4841	eng	N	1997.0	Y	Y	IM	https://www.ajrh.info/index.php/ajrh	Y	1118-4841																																										yes
9426197	Aǧrı : Ağrı (Algoloji) Derneği'nin Yayın organıdır = The journal of the Turkish Society of Algology	Agri	Turkey	İstanbul	Türk Algoloji (Aǧrı) Derneği	1989		Four no. a year		1300-0012	1300-0012	eng	N	2004.0	Y	Y	IM	http://www.agridergisi.com/jvi.aspx?pdir=agri&plng=eng&list=pub	Y	1300-0012																																										yes
